Role,Skills
Data Scientist,"Python SQL Machine Learning Deep Learning Statistics Pandas NumPy Data Analysis"
AI Engineer,"Python Machine Learning Deep Learning TensorFlow PyTorch NLP Computer Vision"
Machine Learning Engineer,"Python Machine Learning TensorFlow Scikit Learn Data Mining Statistics"
Backend Developer,"Python Django Flask API SQL Database MySQL PostgreSQL"
Java Backend Developer,"Java Spring Boot Hibernate REST API MySQL SQL"
PHP Developer,"PHP Laravel MySQL HTML CSS JavaScript"
Frontend Developer,"HTML CSS JavaScript React Bootstrap UI UX"
React Developer,"HTML CSS JavaScript React Redux API"
Angular Developer,"HTML CSS JavaScript Angular TypeScript"
Full Stack Developer,"HTML CSS JavaScript React NodeJS Express MongoDB SQL Python Django"
MERN Stack Developer,"MongoDB Express React NodeJS JavaScript API"
MEAN Stack Developer,"MongoDB Express Angular NodeJS TypeScript JavaScript"
Software Engineer,"C C++ Java Python Data Structures Algorithms OOP"
Java Developer,"Java JDBC Servlet JSP Spring Boot SQL"
C Developer,"C Data Structures Algorithms Pointers Operating System"
C++ Developer,"C++ OOP STL Data Structures Algorithms"
Mobile App Developer,"Java Kotlin Android Studio XML Firebase"
Android Developer,"Java Kotlin Android SQLite Firebase API"
Cloud Engineer,"AWS Azure Cloud Linux Networking Docker Kubernetes"
DevOps Engineer,"AWS Docker Kubernetes Jenkins Linux CI CD Git"
Site Reliability Engineer,"Linux Docker Kubernetes Monitoring AWS Automation"
Cyber Security Analyst,"Network Security Ethical Hacking Kali Linux Cryptography"
Penetration Tester,"Ethical Hacking Kali Linux Network Security OWASP"
Network Engineer,"Networking Routing Switching TCP IP Cisco Firewall"
System Administrator,"Linux Windows Server Networking Shell Scripting"
Database Administrator,"SQL MySQL Oracle PostgreSQL Database Backup"
Cloud Architect,"AWS Azure GCP Kubernetes Docker Networking"
AWS Engineer,"AWS EC2 S3 Lambda CloudFormation DevOps"
Azure Engineer,"Azure Virtual Machines Networking DevOps"
Data Analyst,"Excel SQL Python Power BI Tableau Data Analysis"
Business Analyst,"Excel SQL Power BI Requirement Analysis"
Game Developer,"C++ Unity Unreal Engine OOP"
Unity Developer,"C# Unity Game Development"
Blockchain Developer,"Solidity Ethereum Smart Contracts Web3"
IoT Engineer,"Arduino Raspberry Pi Embedded Systems Sensors C"
Embedded Engineer,"C C++ Microcontroller RTOS Embedded Systems"
Python Developer,"Python Flask Django API Automation SQL"
Automation Engineer,"Python Selenium Automation Testing"
QA Engineer,"Manual Testing Automation Testing Selenium Java"
UI UX Designer,"Figma Adobe XD Wireframe Prototyping"
Web Designer,"HTML CSS JavaScript Bootstrap Figma"
Computer Vision Engineer,"Python OpenCV Deep Learning TensorFlow"
NLP Engineer,"Python NLP Transformers Machine Learning"
Big Data Engineer,"Hadoop Spark Kafka Python SQL"
Data Engineer,"Python SQL ETL Spark Data Warehouse"